movieId;title;genres;userId;rating;movie_indx
1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;190;5.0;10
2;Jumanji (1995);Adventure|Children|Fantasy;190;5.0;125
3;Grumpier Old Men (1995);Comedy|Romance;190;2.0;328
4;Waiting to Exhale (1995);Comedy|Drama|Romance;190;3.0;1646
5;Father of the Bride Part II (1995);Comedy;190;3.0;359
6;Heat (1995);Action|Crime|Thriller;190;4.0;104
7;Sabrina (1995);Comedy|Romance;190;4.0;319
9;Sudden Death (1995);Action;190;3.0;1242
10;GoldenEye (1995);Action|Adventure|Thriller;190;4.0;68
11;American President, The (1995);Comedy|Drama|Romance;190;5.0;186
12;Dracula: Dead and Loving It (1995);Comedy|Horror;190;3.0;1273
15;Cutthroat Island (1995);Action|Adventure|Romance;190;4.0;1580
16;Casino (1995);Crime|Drama;190;4.0;197
17;Sense and Sensibility (1995);Drama|Romance;190;4.0;148
18;Four Rooms (1995);Comedy;190;3.0;964
20;Money Train (1995);Action|Comedy|Crime|Drama|Thriller;190;3.0;1206
21;Get Shorty (1995);Comedy|Crime|Thriller;190;4.0;103
22;Copycat (1995);Crime|Drama|Horror|Mystery|Thriller;190;4.0;465
23;Assassins (1995);Action|Crime|Thriller;190;3.0;1170
24;Powder (1995);Drama|Sci-Fi;190;4.0;621
25;Leaving Las Vegas (1995);Drama|Romance;190;4.0;136
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller;190;5.0;19
34;Babe (1995);Children|Drama;190;3.0;50
36;Dead Man Walking (1995);Crime|Drama;190;3.5;144
42;Dead Presidents (1995);Action|Crime|Drama;190;3.0;1779
43;Restoration (1995);Drama;190;4.0;1740
45;To Die For (1995);Comedy|Drama|Thriller;190;2.0;530
47;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;190;4.0;23
50;Usual Suspects, The (1995);Crime|Mystery|Thriller;190;5.0;14
52;Mighty Aphrodite (1995);Comedy|Drama|Romance;190;3.0;496
57;Home for the Holidays (1995);Drama;190;3.0;1791
60;Indian in the Cupboard, The (1995);Adventure|Children|Fantasy;190;4.0;790
61;Eye for an Eye (1996);Drama|Thriller;190;3.0;1875
62;Mr. Holland's Opus (1995);Drama;190;4.0;170
64;Two if by Sea (1996);Comedy|Romance;190;4.0;1979
65;Bio-Dome (1996);Comedy;190;3.0;1035
70;From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller;190;4.0;330
74;Bed of Roses (1996);Drama|Romance;190;4.0;1370
76;Screamers (1995);Action|Sci-Fi|Thriller;190;4.0;1419
79;Juror, The (1996);Drama|Thriller;190;3.0;898
86;White Squall (1996);Action|Adventure|Drama;190;3.0;1154
89;Nick of Time (1995);Action|Thriller;190;4.0;1465
